n.,data,estado,país,atualizado_em,confirmados,mortes,recuperados
27925,2020-05-21,Roraima,Brazil,2021-04-02 15:13:53,2146.0,72.0,0.0
27933,2020-05-21,Santa Catarina,Brazil,2021-04-02 15:13:53,5610.0,98.0,0.0
27934,2020-05-21,Sao Paulo,Brazil,2021-04-02 15:13:53,73739.0,5558.0,0.0
27938,2020-05-21,Sergipe,Brazil,2021-04-02 15:13:53,4734.0,76.0,0.0
27962,2020-05-21,Tocantins,Brazil,2021-04-02 15:13:53,1976.0,47.0,0.0
28171,2020-05-22,Acre,Brazil,2021-04-02 15:13:53,3343.0,80.0,0.0
28174,2020-05-22,Alagoas,Brazil,2021-04-02 15:13:53,5302.0,280.0,0.0
28177,2020-05-22,Amapa,Brazil,2021-04-02 15:13:53,5655.0,157.0,0.0
28178,2020-05-22,Amazonas,Brazil,2021-04-02 15:13:53,27038.0,1669.0,0.0
28194,2020-05-22,Bahia,Brazil,2021-04-02 15:13:53,12557.0,399.0,0.0
28220,2020-05-22,Ceara,Brazil,2021-04-02 15:13:53,34573.0,2251.0,0.0
28237,2020-05-22,Distrito Federal,Brazil,2021-04-02 15:13:53,5948.0,90.0,0.0
28240,2020-05-22,Espirito Santo,Brazil,2021-04-02 15:13:53,9520.0,397.0,0.0
28253,2020-05-22,Goias,Brazil,2021-04-02 15:13:53,2304.0,93.0,0.0
28300,2020-05-22,Maranhao,Brazil,2021-04-02 15:13:53,17212.0,693.0,0.0
28305,2020-05-22,Mato Grosso,Brazil,2021-04-02 15:13:53,1220.0,37.0,0.0
28306,2020-05-22,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,805.0,17.0,0.0
28315,2020-05-22,Minas Gerais,Brazil,2021-04-02 15:13:53,5995.0,201.0,0.0
28357,2020-05-22,Para,Brazil,2021-04-02 15:13:53,21469.0,1937.0,0.0
28358,2020-05-22,Paraiba,Brazil,2021-04-02 15:13:53,6882.0,248.0,0.0
28359,2020-05-22,Parana,Brazil,2021-04-02 15:13:53,2939.0,146.0,0.0
28361,2020-05-22,Pernambuco,Brazil,2021-04-02 15:13:53,25760.0,2057.0,0.0
28362,2020-05-22,Piaui,Brazil,2021-04-02 15:13:53,3074.0,93.0,0.0
28377,2020-05-22,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,4251.0,181.0,0.0
28378,2020-05-22,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,5918.0,172.0,0.0
28379,2020-05-22,Rio de Janeiro,Brazil,2021-04-02 15:13:53,33589.0,3657.0,0.0
28380,2020-05-22,Rondonia,Brazil,2021-04-02 15:13:53,2774.0,106.0,0.0
28381,2020-05-22,Roraima,Brazil,2021-04-02 15:13:53,2306.0,83.0,0.0
28389,2020-05-22,Santa Catarina,Brazil,2021-04-02 15:13:53,6458.0,100.0,0.0
28390,2020-05-22,Sao Paulo,Brazil,2021-04-02 15:13:53,76871.0,5773.0,0.0
28394,2020-05-22,Sergipe,Brazil,2021-04-02 15:13:53,4922.0,82.0,0.0
28418,2020-05-22,Tocantins,Brazil,2021-04-02 15:13:53,2205.0,49.0,0.0
28627,2020-05-23,Acre,Brazil,2021-04-02 15:13:53,3867.0,87.0,0.0
28630,2020-05-23,Alagoas,Brazil,2021-04-02 15:13:53,5630.0,301.0,0.0
28633,2020-05-23,Amapa,Brazil,2021-04-02 15:13:53,6091.0,162.0,0.0
28634,2020-05-23,Amazonas,Brazil,2021-04-02 15:13:53,28802.0,1744.0,0.0
28650,2020-05-23,Bahia,Brazil,2021-04-02 15:13:53,13000.0,413.0,0.0
28676,2020-05-23,Ceara,Brazil,2021-04-02 15:13:53,35122.0,2308.0,0.0
28693,2020-05-23,Distrito Federal,Brazil,2021-04-02 15:13:53,6251.0,95.0,0.0
28696,2020-05-23,Espirito Santo,Brazil,2021-04-02 15:13:53,9918.0,417.0,0.0
28709,2020-05-23,Goias,Brazil,2021-04-02 15:13:53,2377.0,95.0,0.0
28756,2020-05-23,Maranhao,Brazil,2021-04-02 15:13:53,18767.0,722.0,0.0
28761,2020-05-23,Mato Grosso,Brazil,2021-04-02 15:13:53,1352.0,37.0,0.0
28762,2020-05-23,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,858.0,17.0,0.0
28771,2020-05-23,Minas Gerais,Brazil,2021-04-02 15:13:53,6338.0,217.0,0.0
28813,2020-05-23,Para,Brazil,2021-04-02 15:13:53,22697.0,2001.0,0.0
28814,2020-05-23,Paraiba,Brazil,2021-04-02 15:13:53,7508.0,258.0,0.0
28815,2020-05-23,Parana,Brazil,2021-04-02 15:13:53,3099.0,150.0,0.0
28817,2020-05-23,Pernambuco,Brazil,2021-04-02 15:13:53,26786.0,2144.0,0.0
28818,2020-05-23,Piaui,Brazil,2021-04-02 15:13:53,3258.0,99.0,0.0
28833,2020-05-23,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,4599.0,184.0,0.0
28834,2020-05-23,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,6336.0,176.0,0.0
28835,2020-05-23,Rio de Janeiro,Brazil,2021-04-02 15:13:53,34533.0,3905.0,0.0
28836,2020-05-23,Rondonia,Brazil,2021-04-02 15:13:53,3109.0,115.0,0.0
28837,2020-05-23,Roraima,Brazil,2021-04-02 15:13:53,2374.0,81.0,0.0
28845,2020-05-23,Santa Catarina,Brazil,2021-04-02 15:13:53,6607.0,103.0,0.0
28846,2020-05-23,Sao Paulo,Brazil,2021-04-02 15:13:53,80558.0,6045.0,0.0
28850,2020-05-23,Sergipe,Brazil,2021-04-02 15:13:53,5131.0,86.0,0.0
